Longueur,Quantité,Proportion
317,2,0.0007713073659853452
318,2,0.0007713073659853452
319,2,0.0007713073659853452
320,1,0.0003856536829926726
321,4,0.0015426147319706903
322,3,0.0011569610489780178
323,5,0.0019282684149633628
324,1,0.0003856536829926726
325,1,0.0003856536829926726
327,1,0.0003856536829926726
328,1,0.0003856536829926726
329,1,0.0003856536829926726
330,5,0.0019282684149633628
331,2,0.0007713073659853452
333,2,0.0007713073659853452
335,2,0.0007713073659853452
336,2,0.0007713073659853452
337,1,0.0003856536829926726
338,2,0.0007713073659853452
339,2,0.0007713073659853452
341,2,0.0007713073659853452
343,3,0.0011569610489780178
344,3,0.0011569610489780178
346,3,0.0011569610489780178
347,1,0.0003856536829926726
348,3,0.0011569610489780178
349,1,0.0003856536829926726
350,2,0.0007713073659853452
351,3,0.0011569610489780178
352,4,0.0015426147319706903
353,3,0.0011569610489780178
354,1,0.0003856536829926726
355,1,0.0003856536829926726
356,2,0.0007713073659853452
358,2,0.0007713073659853452
360,2,0.0007713073659853452
361,2,0.0007713073659853452
362,1,0.0003856536829926726
363,3,0.0011569610489780178
365,3,0.0011569610489780178
366,1,0.0003856536829926726
367,2,0.0007713073659853452
368,1,0.0003856536829926726
369,4,0.0015426147319706903
370,2,0.0007713073659853452
371,2,0.0007713073659853452
373,3,0.0011569610489780178
375,1,0.0003856536829926726
376,1,0.0003856536829926726
377,2,0.0007713073659853452
378,2,0.0007713073659853452
379,3,0.0011569610489780178
380,3,0.0011569610489780178
381,3,0.0011569610489780178
382,1,0.0003856536829926726
383,1,0.0003856536829926726
384,1,0.0003856536829926726
385,2,0.0007713073659853452
386,1,0.0003856536829926726
387,2,0.0007713073659853452
388,1,0.0003856536829926726
389,2,0.0007713073659853452
390,1,0.0003856536829926726
391,2,0.0007713073659853452
392,1,0.0003856536829926726
394,2,0.0007713073659853452
397,3,0.0011569610489780178
398,1,0.0003856536829926726
399,1,0.0003856536829926726
400,1,0.0003856536829926726
401,1,0.0003856536829926726
404,1,0.0003856536829926726
405,1,0.0003856536829926726
408,3,0.0011569610489780178
409,1,0.0003856536829926726
410,1,0.0003856536829926726
411,2,0.0007713073659853452
412,2,0.0007713073659853452
413,1,0.0003856536829926726
416,1,0.0003856536829926726
418,1,0.0003856536829926726
419,1,0.0003856536829926726
421,2,0.0007713073659853452
422,1,0.0003856536829926726
423,1,0.0003856536829926726
425,2,0.0007713073659853452
426,1,0.0003856536829926726
427,1,0.0003856536829926726
429,2,0.0007713073659853452
434,1,0.0003856536829926726
435,1,0.0003856536829926726
437,2,0.0007713073659853452
438,1,0.0003856536829926726
439,1,0.0003856536829926726
440,4,0.0015426147319706903
441,1,0.0003856536829926726
442,3,0.0011569610489780178
443,3,0.0011569610489780178
444,2,0.0007713073659853452
445,1,0.0003856536829926726
446,2,0.0007713073659853452
447,3,0.0011569610489780178
448,1,0.0003856536829926726
449,1,0.0003856536829926726
450,2,0.0007713073659853452
452,4,0.0015426147319706903
455,1,0.0003856536829926726
456,1,0.0003856536829926726
457,2,0.0007713073659853452
458,1,0.0003856536829926726
459,2,0.0007713073659853452
460,3,0.0011569610489780178
461,1,0.0003856536829926726
462,1,0.0003856536829926726
463,2,0.0007713073659853452
464,2,0.0007713073659853452
467,1,0.0003856536829926726
468,2,0.0007713073659853452
469,1,0.0003856536829926726
470,2,0.0007713073659853452
471,2,0.0007713073659853452
472,1,0.0003856536829926726
474,2,0.0007713073659853452
477,1,0.0003856536829926726
479,1,0.0003856536829926726
480,1,0.0003856536829926726
481,1,0.0003856536829926726
482,3,0.0011569610489780178
483,1,0.0003856536829926726
484,3,0.0011569610489780178
489,2,0.0007713073659853452
490,1,0.0003856536829926726
491,2,0.0007713073659853452
492,1,0.0003856536829926726
493,4,0.0015426147319706903
496,3,0.0011569610489780178
497,3,0.0011569610489780178
501,2,0.0007713073659853452
502,2,0.0007713073659853452
504,1,0.0003856536829926726
507,2,0.0007713073659853452
508,2,0.0007713073659853452
510,3,0.0011569610489780178
511,1,0.0003856536829926726
517,1,0.0003856536829926726
524,1,0.0003856536829926726
525,1,0.0003856536829926726
526,1,0.0003856536829926726
527,3,0.0011569610489780178
529,1,0.0003856536829926726
532,1,0.0003856536829926726
533,2,0.0007713073659853452
534,1,0.0003856536829926726
535,1,0.0003856536829926726
537,3,0.0011569610489780178
540,1,0.0003856536829926726
541,1,0.0003856536829926726
542,1,0.0003856536829926726
544,1,0.0003856536829926726
546,3,0.0011569610489780178
547,1,0.0003856536829926726
548,1,0.0003856536829926726
549,1,0.0003856536829926726
550,1,0.0003856536829926726
552,1,0.0003856536829926726
553,2,0.0007713073659853452
554,1,0.0003856536829926726
555,2,0.0007713073659853452
556,1,0.0003856536829926726
560,1,0.0003856536829926726
561,1,0.0003856536829926726
562,2,0.0007713073659853452
570,1,0.0003856536829926726
571,1,0.0003856536829926726
572,1,0.0003856536829926726
576,1,0.0003856536829926726
577,1,0.0003856536829926726
578,2,0.0007713073659853452
579,1,0.0003856536829926726
580,1,0.0003856536829926726
583,1,0.0003856536829926726
584,1,0.0003856536829926726
586,2,0.0007713073659853452
588,1,0.0003856536829926726
589,1,0.0003856536829926726
592,1,0.0003856536829926726
593,1,0.0003856536829926726
595,1,0.0003856536829926726
596,1,0.0003856536829926726
598,1,0.0003856536829926726
605,1,0.0003856536829926726
615,1,0.0003856536829926726
621,1,0.0003856536829926726
623,1,0.0003856536829926726
625,1,0.0003856536829926726
627,1,0.0003856536829926726
629,1,0.0003856536829926726
633,1,0.0003856536829926726
635,2,0.0007713073659853452
636,3,0.0011569610489780178
638,2,0.0007713073659853452
645,1,0.0003856536829926726
646,2,0.0007713073659853452
648,2,0.0007713073659853452
652,1,0.0003856536829926726
653,1,0.0003856536829926726
657,1,0.0003856536829926726
660,1,0.0003856536829926726
669,1,0.0003856536829926726
671,1,0.0003856536829926726
672,1,0.0003856536829926726
673,1,0.0003856536829926726
678,2,0.0007713073659853452
680,1,0.0003856536829926726
684,1,0.0003856536829926726
687,2,0.0007713073659853452
696,1,0.0003856536829926726
697,1,0.0003856536829926726
708,1,0.0003856536829926726
713,1,0.0003856536829926726
716,1,0.0003856536829926726
721,1,0.0003856536829926726
722,1,0.0003856536829926726
723,1,0.0003856536829926726
731,1,0.0003856536829926726
733,1,0.0003856536829926726
741,1,0.0003856536829926726
752,1,0.0003856536829926726
754,1,0.0003856536829926726
759,1,0.0003856536829926726
761,1,0.0003856536829926726
762,1,0.0003856536829926726
763,1,0.0003856536829926726
765,1,0.0003856536829926726
766,1,0.0003856536829926726
767,1,0.0003856536829926726
774,1,0.0003856536829926726
786,1,0.0003856536829926726
787,1,0.0003856536829926726
795,1,0.0003856536829926726
796,1,0.0003856536829926726
800,1,0.0003856536829926726
806,1,0.0003856536829926726
809,1,0.0003856536829926726
811,1,0.0003856536829926726
815,1,0.0003856536829926726
832,1,0.0003856536829926726
862,1,0.0003856536829926726
863,1,0.0003856536829926726
864,1,0.0003856536829926726
909,1,0.0003856536829926726
925,1,0.0003856536829926726
928,1,0.0003856536829926726
934,1,0.0003856536829926726
944,1,0.0003856536829926726
945,1,0.0003856536829926726
967,1,0.0003856536829926726
983,1,0.0003856536829926726
985,1,0.0003856536829926726
988,1,0.0003856536829926726
991,1,0.0003856536829926726
999,1,0.0003856536829926726
1002,1,0.0003856536829926726
1009,1,0.0003856536829926726
1012,1,0.0003856536829926726
1015,1,0.0003856536829926726
1018,1,0.0003856536829926726
1041,1,0.0003856536829926726
1046,1,0.0003856536829926726
1075,1,0.0003856536829926726
1081,1,0.0003856536829926726
1085,1,0.0003856536829926726
1089,1,0.0003856536829926726
1090,1,0.0003856536829926726
1104,1,0.0003856536829926726
1136,1,0.0003856536829926726
1171,1,0.0003856536829926726
1173,1,0.0003856536829926726
1184,1,0.0003856536829926726
1188,1,0.0003856536829926726
1190,1,0.0003856536829926726
1206,1,0.0003856536829926726
1207,1,0.0003856536829926726
1211,1,0.0003856536829926726
1216,2,0.0007713073659853452
1222,1,0.0003856536829926726
1236,1,0.0003856536829926726
1260,1,0.0003856536829926726
1290,1,0.0003856536829926726
1293,2,0.0007713073659853452
1296,1,0.0003856536829926726
1308,1,0.0003856536829926726
1315,1,0.0003856536829926726
1343,1,0.0003856536829926726
1396,1,0.0003856536829926726
1421,1,0.0003856536829926726
1447,1,0.0003856536829926726
1481,1,0.0003856536829926726
1497,1,0.0003856536829926726
1575,2,0.0007713073659853452
1596,1,0.0003856536829926726
1608,1,0.0003856536829926726
1610,1,0.0003856536829926726
1622,1,0.0003856536829926726
1624,1,0.0003856536829926726
1654,1,0.0003856536829926726
1708,1,0.0003856536829926726
1720,1,0.0003856536829926726
1723,1,0.0003856536829926726
1747,1,0.0003856536829926726
1761,1,0.0003856536829926726
1771,1,0.0003856536829926726
1785,1,0.0003856536829926726
1798,1,0.0003856536829926726
1868,1,0.0003856536829926726
1878,1,0.0003856536829926726
1905,1,0.0003856536829926726
2031,1,0.0003856536829926726
2034,1,0.0003856536829926726
2090,1,0.0003856536829926726
2166,1,0.0003856536829926726
2237,1,0.0003856536829926726
2300,1,0.0003856536829926726
2339,1,0.0003856536829926726
2367,1,0.0003856536829926726
2370,1,0.0003856536829926726
2402,1,0.0003856536829926726
2459,1,0.0003856536829926726
2547,1,0.0003856536829926726
2613,1,0.0003856536829926726
2938,1,0.0003856536829926726
3093,1,0.0003856536829926726
3237,1,0.0003856536829926726
3528,1,0.0003856536829926726
3823,1,0.0003856536829926726
4766,1,0.0003856536829926726
5105,1,0.0003856536829926726
5178,1,0.0003856536829926726
5211,1,0.0003856536829926726
